SpotID IntegratedIntensity Omega(degrees) YCen(px) ZCen(px) IMax MinOme(degrees) MaxOme(degress) SigmaR SigmaEta NrPx NrPxTot Radius(px) Eta(degrees)
136 47075.998776 24.000000 1936.999708 1037.999991 3750.000000 24.000000 24.000000 8.069004 0.505191 45.000000 45.000000 915.139588 88.998209
137 47521.021844 23.750000 178.000279 566.000158 3750.000000 23.750000 23.750000 9.180175 0.548295 45.000000 45.000000 959.307764 -118.381659
138 47075.999946 23.250000 1938.999708 1033.999993 3750.000000 23.250000 23.250000 8.051813 0.095891 45.000000 45.000000 917.078222 89.250262
139 47526.758926 21.250000 605.000562 794.000323 3750.000000 21.250000 21.250000 9.183420 0.184866 45.000000 45.000000 475.260333 -118.668187
140 47519.192382 20.500000 604.000563 797.000319 3750.000000 20.500000 20.500000 9.102787 0.393959 45.000000 45.000000 474.708738 -118.292579
141 47545.833701 17.000000 225.000291 1475.999826 3750.000000 17.000000 17.000000 9.193337 0.095776 45.000000 45.000000 917.237362 -60.332598
142 95259.037979 16.374794 227.501116 1479.999825 3750.000000 16.250000 16.500000 9.195714 0.095746 90.000000 90.000000 916.623903 -60.022526
143 42498.594112 15.750000 1884.999672 1329.999886 3750.000000 15.750000 15.750000 1.348222 0.084302 45.000000 45.000000 916.314555 70.358794
144 47529.054218 15.250000 1436.999436 1249.999674 3750.000000 15.250000 15.250000 9.141273 0.588800 45.000000 45.000000 473.506476 61.215714
145 47519.190390 14.500000 1439.999437 1246.999681 3750.000000 14.500000 14.500000 9.103775 0.392288 45.000000 45.000000 474.708738 61.707421
146 47624.636094 13.500000 618.000370 650.000350 3750.000000 13.500000 13.500000 9.121671 0.188585 45.000000 45.000000 549.180699 -132.638625
147 47536.387996 12.250000 642.000201 1702.999658 3750.000000 12.250000 12.250000 9.188591 0.112656 45.000000 45.000000 779.846383 -29.161645
148 47530.158097 12.000000 1860.999721 1483.999839 3750.000000 12.000000 12.000000 9.020825 0.549393 45.000000 45.000000 957.791409 61.160378
149 47530.032083 11.500000 646.000198 1704.999657 3750.000000 11.500000 11.500000 9.173524 0.112688 45.000000 45.000000 779.656580 -28.833330
150 47522.658725 11.250000 1864.999721 1478.999841 3750.000000 11.250000 11.250000 9.138307 0.548574 45.000000 45.000000 958.904263 61.537370
151 47624.586080 5.000000 1424.999630 1393.999649 3750.000000 5.000000 5.000000 7.826745 0.160008 45.000000 45.000000 548.445477 47.290611
152 42498.596015 5.000000 1817.999699 568.000169 3750.000000 5.000000 5.000000 9.132951 0.084297 45.000000 45.000000 916.368576 119.698350
153 95416.376514 4.375000 1815.999710 564.000175 3750.000000 4.250000 4.500000 8.840595 0.095393 90.000000 90.000000 916.623903 119.977474
154 47075.999964 2.250000 243.000344 1030.999993 3750.000000 2.250000 2.250000 8.045790 0.112881 45.000000 45.000000 779.051644 -89.338076
155 32157.400999 1.500000 241.825797 1035.998532 12445.289891 1.500000 1.500000 0.967650 0.073294 45.000000 52.000000 780.299780 -88.972062
156 62127.779847 1.500000 242.850276 1036.000177 9621.622782 1.500000 1.500000 9.070679 0.594080 50.000000 52.000000 779.275495 -88.970590
157 47560.553750 1.250000 626.000211 350.000341 3750.000000 1.250000 1.250000 9.200000 0.433424 45.000000 45.000000 779.999599 -149.489763
158 47566.511359 0.500000 622.000214 353.000341 3750.000000 0.500000 0.500000 1.533038 0.676436 45.000000 45.000000 779.461592 -149.124488
