%YLab ZLab Omega GrainRadius SpotID RingNumber Eta Ttheta
-115599.95800 -142199.95120    -60.47469     92.39342    184.00000      4.00000    140.89098     10.38478
-115999.95800 -141999.95140    -59.47461     92.48337    185.00000      4.00000    140.75457     10.39020
 15399.99260 182799.94380    -53.99089     46.95522    186.00000      4.00000     -4.81552     10.39519
 14999.99280 182999.94380    -49.24097     46.52990    187.00000      4.00000     -4.68590     10.40440
129999.95740 -129399.95740    -47.46948     96.05171    188.00000      4.00000   -134.86747     10.39388
129599.95740 -129999.95740    -47.21973     95.92824    189.00000      4.00000   -135.08828     10.40170
115700.49560 142296.03960    -44.22440    115.85694    190.00000      4.00000    -39.11446     10.39243
115761.40840 142469.65840    -44.22447     24.14048    191.00000      4.00000    -39.09502     10.40203
116199.95820 141999.95160    -43.22428     92.51505    192.00000      4.00000    -39.29380     10.39722
-182999.94220  -7799.99580    -39.67000    107.28987    193.00000      4.00000     92.44064     10.37959
-182999.94200  -6999.99620    -38.91968    107.29623    194.00000      4.00000     92.19057     10.37780
-170599.94080 -66999.97560    -33.19409    104.99226    195.00000      4.00000    111.44150     10.38617
183199.94220   7999.99580    -29.16976    107.28793    196.00000      4.00000    -87.49959     10.39114
183199.94220   6999.99620    -28.41935    107.29597    197.00000      4.00000    -87.81182     10.38887
-162000.05100  86199.98560    -21.95158    102.94936    198.00000      4.00000     61.98262     10.39843
-161799.94580  85999.99660    -21.95150    102.99571    199.00000      4.00000     62.00844     10.38343
170799.94080  66999.97560    -21.94377    104.99700    200.00000      4.00000    -68.58133     10.39649
-160999.94160  87199.96680    -21.20199    103.14059    201.00000      4.00000     61.55936     10.37580
162113.65020 -86212.35000    -10.20191    110.40796    202.00000      4.00000   -118.00413     10.40431
162096.97500 -85967.53860    -10.20181    104.04065    203.00000      4.00000   -117.93908     10.39713
161199.94160 -87199.96680     -9.45231    103.14956    204.00000      4.00000   -118.41086     10.38555
 82199.96900 -163999.94160     -4.98356     82.35135    205.00000      4.00000   -153.37908     10.39516
-76199.97160 -166799.94140     -0.73470     80.27801    206.00000      4.00000    155.44744     10.39151
-158799.94200 -91599.96500      4.42090    129.46616    207.00000      4.00000    119.97747     10.38838
-159199.93980 -90799.96620      5.04622     98.96626    208.00000      4.00000    119.69835     10.38555
