SpotID IntegratedIntensity Omega(degrees) YCen(px) ZCen(px) IMax MinOme(degrees) MaxOme(degress) Radius(px) Theta(degrees) Eta(degrees) DeltaOmega NImgs RingNr GrainVolume GrainRadius PowderIntensity SigmaR SigmaEta NrPx NrPxTot
71.000000 47075.999931 93.000000 64.000274 971.000024 3750.000000 93.000000 93.000000 959.356280 5.430705 -93.047316 0.250000 1.000000 5.000000 5174482.992128 107.298286 1578.488392 7.726030 0.456813 45.000000 45.000000
72.000000 47587.893668 93.000000 364.000336 1438.999776 3750.000000 93.000000 93.000000 779.007298 4.427785 -57.635988 0.250000 1.000000 3.000000 4442736.931934 101.981328 2361.430926 6.898050 0.112737 45.000000 45.000000
73.000000 47584.800982 92.500000 730.000316 557.000479 3750.000000 92.500000 92.500000 549.079566 3.133438 -147.872948 0.250000 1.000000 2.000000 2809524.869342 87.534937 1177.064788 9.208419 0.159949 45.000000 45.000000
74.000000 47591.658333 92.500000 250.000285 527.000192 3750.000000 92.500000 92.500000 917.065085 5.196637 -122.667656 0.250000 1.000000 4.000000 4406282.330060 101.701628 4740.838162 7.805732 0.392253 45.000000 45.000000
75.000000 47113.896009 92.250000 127.000277 823.000065 3750.000000 92.250000 92.250000 916.856302 5.195480 -102.535586 0.250000 1.000000 4.000000 5058502.375800 106.490561 4740.838162 8.725098 0.532024 45.000000 45.000000
76.000000 47075.999680 92.250000 65.000275 971.000024 3750.000000 92.250000 92.250000 958.357695 5.425187 -93.050494 0.250000 1.000000 5.000000 5174515.030793 107.298508 1578.488392 7.165638 0.462269 45.000000 45.000000
77.000000 47584.800982 91.250000 730.000316 557.000479 3750.000000 91.250000 91.250000 549.079566 3.133438 -147.872948 0.250000 1.000000 2.000000 2809524.869342 87.534937 1177.064788 9.208419 0.159949 45.000000 45.000000
78.000000 47075.999837 90.500000 547.000553 997.000048 3750.000000 90.500000 90.500000 475.656885 2.717136 -93.012785 0.250000 1.000000 1.000000 5234915.079032 107.714378 1565.589622 7.186819 0.984845 45.000000 45.000000
79.000000 47273.261254 90.500000 486.000460 1142.999891 3750.000000 90.500000 90.500000 549.487471 3.135748 -77.278926 0.250000 1.000000 2.000000 5120437.405730 106.923414 1177.064788 8.733523 0.342924 45.000000 45.000000
80.000000 47625.083010 89.750000 669.000434 704.000404 3750.000000 89.750000 89.750000 475.113078 2.714048 -132.014102 0.250000 1.000000 1.000000 3940009.241200 97.979724 1565.589622 9.135130 0.905627 45.000000 45.000000
81.000000 47076.000439 89.750000 548.000555 997.000048 3750.000000 89.750000 89.750000 474.658268 2.711466 -93.019130 0.250000 1.000000 1.000000 5234909.160886 107.714337 1565.589622 7.408618 0.990099 45.000000 45.000000
82.000000 47076.000500 84.250000 1494.999444 1046.999952 3750.000000 84.250000 84.250000 473.659658 2.705795 86.974499 0.250000 1.000000 1.000000 5234902.941999 107.714295 1565.589622 8.196977 0.185649 45.000000 45.000000
83.000000 47273.791238 84.000000 1556.999539 901.000109 3750.000000 84.000000 84.000000 548.512061 3.130226 102.744076 0.250000 1.000000 2.000000 5120057.287358 106.920768 1177.064788 8.734559 0.282105 45.000000 45.000000
84.000000 95175.800350 82.625000 1679.999664 605.000224 3750.000000 82.500000 82.750000 779.007298 4.427785 122.364012 0.500000 2.000000 3.000000 8884941.127363 128.485854 2361.430926 6.944273 0.112737 90.000000 90.000000
85.000000 47625.026989 82.500000 1373.999566 1339.999595 3750.000000 82.500000 82.500000 474.370569 2.709832 47.905056 0.250000 1.000000 1.000000 3935005.695095 97.938230 1565.589622 8.687376 0.184997 45.000000 45.000000
86.000000 142302.315050 82.416491 1201.999753 583.000569 7500.000000 82.250000 82.500000 474.468558 2.710389 157.705255 0.500000 2.000000 1.000000 6008727.771080 112.779796 1565.589622 9.022706 0.185361 90.000000 90.000000
87.000000 47075.999571 82.250000 1978.999725 1072.999976 3750.000000 82.250000 82.250000 958.357695 5.425187 86.949506 0.250000 1.000000 5.000000 5174515.018811 107.298507 1578.488392 7.165636 0.462269 45.000000 45.000000
88.000000 47114.201317 81.500000 1915.999723 1220.999935 3750.000000 81.500000 81.500000 915.880166 5.190069 77.450836 0.250000 1.000000 4.000000 5058311.828311 106.489224 4740.838162 6.722730 0.096105 45.000000 45.000000
89.000000 47075.999571 81.500000 1978.999725 1072.999976 3750.000000 81.500000 81.500000 958.357695 5.425187 86.949506 0.250000 1.000000 5.000000 5174515.018811 107.298507 1578.488392 7.165636 0.462269 45.000000 45.000000
90.000000 47625.544754 81.250000 1742.999750 455.000209 3750.000000 81.250000 81.250000 917.240100 5.197608 128.181785 0.250000 1.000000 4.000000 4117216.143088 99.427156 4740.838162 9.185879 0.095696 45.000000 45.000000
91.000000 42498.596843 81.000000 1792.999709 1517.999816 3750.000000 81.000000 81.000000 916.764075 5.194969 57.245998 0.250000 1.000000 4.000000 3930942.687402 97.904511 4740.838162 1.628179 0.097843 45.000000 45.000000
92.000000 47583.618147 80.750000 1312.999684 1486.999521 3750.000000 80.750000 80.750000 548.548421 3.130431 32.038597 0.250000 1.000000 2.000000 2802551.128163 87.462451 1177.064788 6.997335 0.160105 45.000000 45.000000
93.000000 47592.064938 80.250000 1792.999715 1516.999807 3750.000000 80.250000 80.250000 916.223428 5.191972 57.298590 0.250000 1.000000 4.000000 4404686.978238 101.689352 4740.838162 1.532739 0.575825 45.000000 45.000000
94.000000 47583.618147 79.500000 1312.999684 1486.999521 3750.000000 79.500000 79.500000 548.548421 3.130431 32.038597 0.250000 1.000000 2.000000 2802551.128163 87.462451 1177.064788 6.997335 0.160105 45.000000 45.000000
95.000000 47624.916608 78.750000 1730.999786 1665.999799 3750.000000 78.750000 78.750000 957.818583 5.422207 47.750454 0.250000 1.000000 5.000000 3879983.051839 97.479600 1578.488392 8.956631 0.091621 45.000000 45.000000
96.000000 91389.866729 75.250000 1379.586937 132.168794 44435.650302 75.250000 75.250000 958.993219 5.428699 158.106814 0.250000 1.000000 5.000000 3749200.149356 96.371808 1578.488392 0.882309 0.057634 52.000000 52.000000
97.000000 61110.514710 75.056231 1378.902886 131.126031 16647.512022 75.000000 75.250000 959.859058 5.433484 158.165337 0.500000 2.000000 5.000000 2499390.355943 84.187671 1578.488392 9.052516 0.117120 96.000000 97.000000
98.000000 47099.763349 67.250000 124.000275 1210.999937 3750.000000 67.250000 67.250000 917.673408 5.200009 -78.114558 0.250000 1.000000 4.000000 5069386.443599 106.566883 4740.838162 8.695178 0.095922 45.000000 45.000000
99.000000 93789.461189 66.750000 125.006644 1212.485941 13312.467832 66.750000 66.750000 916.996169 5.196255 -78.010749 0.250000 1.000000 4.000000 10090829.922199 134.053891 4740.838162 1.013634 0.084438 52.000000 52.000000
100.000000 771.167101 66.750000 124.708862 1212.868433 37123.582160 66.750000 66.750000 917.366964 5.198311 -77.991245 0.250000 1.000000 4.000000 82963.771505 27.056189 4740.838162 0.321347 0.604708 52.000000 52.000000
101.000000 47100.706514 62.250000 1182.999926 1783.999676 3750.000000 62.250000 62.250000 778.822497 4.426751 11.930336 0.250000 1.000000 3.000000 1075398.324108 63.556540 2361.430926 6.904369 0.113023 45.000000 45.000000
102.000000 47289.726333 60.250000 285.000348 767.000124 3750.000000 60.250000 60.250000 779.867569 4.432597 -109.085481 0.250000 1.000000 3.000000 4939661.601197 105.650007 2361.430926 8.902987 0.659605 45.000000 45.000000
103.000000 94568.291693 59.375003 284.000347 769.500112 3750.000000 59.250000 59.500000 779.838077 4.432432 -108.853159 0.500000 2.000000 3.000000 9891746.992005 133.166442 2361.430926 6.478048 0.658975 90.000000 90.000000
104.000000 47623.849778 58.500000 382.000211 1680.999785 3750.000000 58.500000 58.500000 918.629657 5.205310 -44.162015 0.250000 1.000000 4.000000 3648783.812868 95.503622 4740.838162 8.783692 0.333336 45.000000 45.000000
105.000000 47623.940054 58.000000 386.000211 1682.999784 3750.000000 58.000000 58.000000 917.287548 5.197871 -43.895746 0.250000 1.000000 4.000000 3631327.301452 95.351075 4740.838162 9.088374 0.533978 45.000000 45.000000
106.000000 47100.032722 56.750000 1918.999725 833.000063 3750.000000 56.750000 56.750000 916.694869 5.194585 101.898315 0.250000 1.000000 4.000000 5069219.190563 106.565711 4740.838162 8.542582 0.504589 45.000000 45.000000
107.000000 94204.488528 56.124998 1917.999724 831.500056 3750.000000 56.000000 56.250000 916.131258 5.191461 102.033604 0.500000 2.000000 4.000000 10133796.519274 134.243889 4740.838162 8.702087 0.278340 90.000000 90.000000
108.000000 47626.250022 53.750000 430.000209 321.000236 3750.000000 53.750000 53.750000 917.531701 5.199224 -139.818646 0.250000 1.000000 4.000000 3379255.207574 93.091664 4740.838162 1.531783 0.572303 45.000000 45.000000
109.000000 47625.922679 52.750000 432.000272 1531.999754 3750.000000 52.750000 52.750000 779.871417 4.432619 -49.159643 0.250000 1.000000 3.000000 3982194.896353 98.328172 2361.430926 9.155021 0.672599 45.000000 45.000000
