%YLab ZLab Omega GrainRadius SpotID RingNumber Eta Ttheta OmegaIni(NoWedgeCorr) YOrig(NoWedgeCorr) ZOrig(NoWedgeCorr) YOrig(DetCor) ZOrig(DetCor) OmegaOrig(DetCor) IntegratedIntensity(count)
 75199.96040 136599.93140     11.52791     84.56286    114.00000      3.00000    -28.83333      8.86283     11.52791  75199.96040 136599.93140    646.00020   1704.99966     11.52791  47530.03208
 75999.95980 136199.93160     12.27808     84.85865    115.00000      3.00000    -29.16164      8.86496     12.27808  75999.95980 136199.93160    642.00020   1702.99966     12.27808  47536.38800
-117799.93880 -101999.94720     41.04167     94.64203    116.00000      3.00000    130.88845      8.85678     41.04167 -117799.93880 -101999.94720   1610.99969    512.00026     41.04167  42498.59703
-147399.82640  50598.26380     50.06291    106.16180    117.00000      3.00000     71.05408      8.85787     50.06291 -147399.82640  50598.26380   1758.99913   1274.99132     50.06291  47939.79005
-147399.98120  50398.10960     50.06299    104.91463    118.00000      3.00000     71.12373      8.85425     50.06299 -147399.98120  50398.10960   1758.99991   1273.99055     50.06299  46250.61828
-147199.93040  50999.97520     50.81274    105.64564    119.00000      3.00000     70.89047      8.85462     50.81274 -147199.93040  50999.97520   1757.99965   1276.99988     50.81274  47290.40105
117999.94560 101999.95080     52.79199     98.32817    120.00000      3.00000    -49.15964      8.86524     52.79199 117999.94560 101999.95080    432.00027   1531.99975     52.79199  47625.92268
147599.93060 -50499.97760     59.43763    133.16644    121.00000      3.00000   -108.88792      8.86667     59.43763 147599.93060 -50499.97760    284.00035    769.50011     59.43763  94568.29169
147399.93040 -50999.97520     60.31242    105.65001    122.00000      3.00000   -109.08548      8.86519     60.31242 147399.93040 -50999.97520    285.00035    767.00012     60.31242  47289.72633
-32199.98520 152399.93520     62.27148     63.55654    123.00000      3.00000     11.93034      8.85350     62.27148 -32199.98520 152399.93520   1182.99993   1783.99968     62.27148  47100.70651
-131599.93280 -83399.95520     82.67424    128.48585    124.00000      3.00000    122.36401      8.85557     82.67424 -131599.93280 -83399.95520   1679.99966    605.00022     82.67424  95175.80035
131599.93280  83399.95520     93.04956    101.98133    125.00000      3.00000    -57.63599      8.85557     93.04956 131599.93280  83399.95520    364.00034   1438.99978     93.04956  47587.89367
131999.93280  83399.95540     93.29956    102.00968    126.00000      3.00000    -57.71456      8.87448     93.29956 131999.93280  83399.95540    362.00034   1438.99978     93.29956  47586.88710
 32399.98520 -152399.93520    103.02116     63.68296    127.00000      3.00000   -167.99771      8.85582    103.02116  32399.98520 -152399.93520    860.00007    260.00032    103.02116  47102.22959
-146199.80560  53199.91320    114.06185    105.30227    128.00000      3.00000     70.00431      8.84309    114.06185 -146199.80560  53199.91320   1752.99903   1287.99957    114.06185  47088.45065
-146399.95420  53200.10640    114.06185    105.31767    129.00000      3.00000     70.02942      8.85361    114.06185 -146399.95420  53200.10640   1753.99977   1288.00053    114.06185  47101.94918
-146399.93020  52799.97380    114.81201    105.50395    130.00000      3.00000     70.16787      8.84599    114.81201 -146399.93020  52799.97380   1753.99965   1285.99987    114.81201  47310.65942
-120199.94340 -99199.95060    122.79281     98.96286    131.00000      3.00000    129.53256      8.85818    122.79281 -120199.94340 -99199.95060   1622.99972    526.00025    122.79281  47626.36341
146422.32000 -53202.54300    123.56152    112.26384    132.00000      3.00000   -109.96861      8.85484    123.56152 146422.32000 -53202.54300    289.88840    755.98729    123.56152  57049.22845
146618.53860 -53195.29100    123.56153     97.33248    133.00000      3.00000   -109.94149      8.86501    123.56153 146618.53860 -53195.29100    288.90731    756.02355    123.56153  37173.35734
146799.93040 -52799.97400    124.31169    105.51344    134.00000      3.00000   -109.78229      8.86704    124.31169 146799.93040 -52799.97400    288.00035    758.00013    124.31169  47309.27268
